ds_cargo;cd_municipio;nm_municipio;nm_regiao;nr_turno;sg_uf;nr_zona;qt_secoes_agregadas;qt_aptos_tot;qt_comparecimento;qt_votos_nom_validos;qt_votos_brancos;qt_total_vt_leg_validos;qt_total_votos_anulados;qt_votos_validos;qt_votos;qt_total_votos_nulos
Governador;00019;GUAJARÁ-MIRIM;NORTE;2;RO;1;26;28154;20367;19411;331;0;0;19411;20367;625
Governador;00035;PORTO VELHO;NORTE;2;RO;2;34;104703;82526;77447;1825;0;0;77447;82526;3254
Governador;00035;PORTO VELHO;NORTE;2;RO;6;29;87484;66768;62368;1634;0;0;62368;66768;2766
Governador;00035;PORTO VELHO;NORTE;2;RO;20;25;85541;66680;62408;1597;0;0;62408;66680;2675
Governador;00035;PORTO VELHO;NORTE;2;RO;21;3;71911;54966;51274;1270;0;0;51274;54966;2422
Governador;00051;JI-PARANÁ;NORTE;2;RO;3;22;28693;21783;20715;413;0;0;20715;21783;655
Governador;00051;JI-PARANÁ;NORTE;2;RO;30;30;63662;48419;46224;820;0;0;46224;48419;1375
Governador;00078;ARIQUEMES;NORTE;2;RO;7;11;69780;51836;49322;1060;0;0;49322;51836;1454
Governador;00094;CACOAL;NORTE;2;RO;11;15;66501;51985;49451;1094;0;0;49451;51985;1440
Governador;00116;PIMENTA BUENO;NORTE;2;RO;9;8;26477;20614;19258;569;0;0;19258;20614;787
Governador;00132;VILHENA;NORTE;2;RO;4;34;65474;50866;46792;1657;0;0;46792;50866;2417
Governador;00159;JARU;NORTE;2;RO;10;32;43055;30453;28859;601;0;0;28859;30453;993
Governador;00175;OURO PRETO DO OESTE;NORTE;2;RO;13;21;30340;21140;20096;374;0;0;20096;21140;670
Governador;00191;PRESIDENTE MÉDICI;NORTE;2;RO;3;23;15599;11652;10992;276;0;0;10992;11652;384
Governador;00213;COSTA MARQUES;NORTE;2;RO;5;1;9506;6818;6566;69;0;0;6566;6818;183
Governador;00230;COLORADO DO OESTE;NORTE;2;RO;8;58;13744;10237;9560;285;0;0;9560;10237;392
Governador;00256;ESPIGÃO DO OESTE;NORTE;2;RO;12;10;23903;18420;17429;439;0;0;17429;18420;552
Governador;00272;CEREJEIRAS;NORTE;2;RO;16;12;12928;10129;9610;231;0;0;9610;10129;288
