ds_cargo;cd_municipio;nm_municipio;nm_candidato;nr_candidato;sg_partido;nm_regiao;ds_sit_totalizacao;nr_turno;sg_uf;nr_zona;qt_votos_nominais;qt_votos_validos;dt_carga
Governador;19;GUAJARÁ-MIRIM;MARCOS JOSÉ ROCHA DOS SANTOS;44;UNIÃO;NORTE;Eleito;2;RO;1;7765;19411;08/11/2022 18:45
Governador;19;GUAJARÁ-MIRIM;MARCOS ROGERIO DA SILVA BRITO;22;PL;NORTE;Não Eleito;2;RO;1;11646;19411;08/11/2022 18:45
Governador;35;PORTO VELHO;MARCOS JOSÉ ROCHA DOS SANTOS;44;UNIÃO;NORTE;Eleito;2;RO;2;46735;77447;08/11/2022 18:45
Governador;35;PORTO VELHO;MARCOS JOSÉ ROCHA DOS SANTOS;44;UNIÃO;NORTE;Eleito;2;RO;6;31316;62368;08/11/2022 18:45
Governador;35;PORTO VELHO;MARCOS JOSÉ ROCHA DOS SANTOS;44;UNIÃO;NORTE;Eleito;2;RO;20;37556;62408;08/11/2022 18:45
Governador;35;PORTO VELHO;MARCOS JOSÉ ROCHA DOS SANTOS;44;UNIÃO;NORTE;Eleito;2;RO;21;31146;51274;08/11/2022 18:45
Governador;35;PORTO VELHO;MARCOS ROGERIO DA SILVA BRITO;22;PL;NORTE;Não Eleito;2;RO;2;30712;77447;08/11/2022 18:45
Governador;35;PORTO VELHO;MARCOS ROGERIO DA SILVA BRITO;22;PL;NORTE;Não Eleito;2;RO;6;31052;62368;08/11/2022 18:45
Governador;35;PORTO VELHO;MARCOS ROGERIO DA SILVA BRITO;22;PL;NORTE;Não Eleito;2;RO;20;24852;62408;08/11/2022 18:45
Governador;35;PORTO VELHO;MARCOS ROGERIO DA SILVA BRITO;22;PL;NORTE;Não Eleito;2;RO;21;20128;51274;08/11/2022 18:45
Governador;51;JI-PARANÁ;MARCOS JOSÉ ROCHA DOS SANTOS;44;UNIÃO;NORTE;Eleito;2;RO;3;10794;20715;08/11/2022 18:45
Governador;51;JI-PARANÁ;MARCOS JOSÉ ROCHA DOS SANTOS;44;UNIÃO;NORTE;Eleito;2;RO;30;22093;46224;08/11/2022 18:45
Governador;51;JI-PARANÁ;MARCOS ROGERIO DA SILVA BRITO;22;PL;NORTE;Não Eleito;2;RO;3;9921;20715;08/11/2022 18:45
Governador;51;JI-PARANÁ;MARCOS ROGERIO DA SILVA BRITO;22;PL;NORTE;Não Eleito;2;RO;30;24131;46224;08/11/2022 18:45
Governador;78;ARIQUEMES;MARCOS JOSÉ ROCHA DOS SANTOS;44;UNIÃO;NORTE;Eleito;2;RO;7;21110;49322;08/11/2022 18:45
Governador;78;ARIQUEMES;MARCOS ROGERIO DA SILVA BRITO;22;PL;NORTE;Não Eleito;2;RO;7;28212;49322;08/11/2022 18:45
Governador;94;CACOAL;MARCOS JOSÉ ROCHA DOS SANTOS;44;UNIÃO;NORTE;Eleito;2;RO;11;30355;49451;08/11/2022 18:45
Governador;94;CACOAL;MARCOS ROGERIO DA SILVA BRITO;22;PL;NORTE;Não Eleito;2;RO;11;19096;49451;08/11/2022 18:45
Governador;116;PIMENTA BUENO;MARCOS JOSÉ ROCHA DOS SANTOS;44;UNIÃO;NORTE;Eleito;2;RO;9;12289;19258;08/11/2022 18:45
Governador;116;PIMENTA BUENO;MARCOS ROGERIO DA SILVA BRITO;22;PL;NORTE;Não Eleito;2;RO;9;6969;19258;08/11/2022 18:45
Governador;132;VILHENA;MARCOS JOSÉ ROCHA DOS SANTOS;44;UNIÃO;NORTE;Eleito;2;RO;4;21506;46792;08/11/2022 18:45
Governador;132;VILHENA;MARCOS ROGERIO DA SILVA BRITO;22;PL;NORTE;Não Eleito;2;RO;4;25286;46792;08/11/2022 18:45
Governador;159;JARU;MARCOS JOSÉ ROCHA DOS SANTOS;44;UNIÃO;NORTE;Eleito;2;RO;10;15392;28859;08/11/2022 18:45
Governador;159;JARU;MARCOS ROGERIO DA SILVA BRITO;22;PL;NORTE;Não Eleito;2;RO;10;13467;28859;08/11/2022 18:45
Governador;175;OURO PRETO DO OESTE;MARCOS JOSÉ ROCHA DOS SANTOS;44;UNIÃO;NORTE;Eleito;2;RO;13;9883;20096;08/11/2022 18:45
Governador;175;OURO PRETO DO OESTE;MARCOS ROGERIO DA SILVA BRITO;22;PL;NORTE;Não Eleito;2;RO;13;10213;20096;08/11/2022 18:45
Governador;191;PRESIDENTE MÉDICI;MARCOS JOSÉ ROCHA DOS SANTOS;44;UNIÃO;NORTE;Eleito;2;RO;3;5372;10992;08/11/2022 18:45
Governador;191;PRESIDENTE MÉDICI;MARCOS ROGERIO DA SILVA BRITO;22;PL;NORTE;Não Eleito;2;RO;3;5620;10992;08/11/2022 18:45
Governador;213;COSTA MARQUES;MARCOS JOSÉ ROCHA DOS SANTOS;44;UNIÃO;NORTE;Eleito;2;RO;5;3097;6566;08/11/2022 18:45
Governador;213;COSTA MARQUES;MARCOS ROGERIO DA SILVA BRITO;22;PL;NORTE;Não Eleito;2;RO;5;3469;6566;08/11/2022 18:45
Governador;230;COLORADO DO OESTE;MARCOS JOSÉ ROCHA DOS SANTOS;44;UNIÃO;NORTE;Eleito;2;RO;8;4829;9560;08/11/2022 18:45
Governador;230;COLORADO DO OESTE;MARCOS ROGERIO DA SILVA BRITO;22;PL;NORTE;Não Eleito;2;RO;8;4731;9560;08/11/2022 18:45
Governador;256;ESPIGÃO DO OESTE;MARCOS JOSÉ ROCHA DOS SANTOS;44;UNIÃO;NORTE;Eleito;2;RO;12;9042;17429;08/11/2022 18:45
Governador;256;ESPIGÃO DO OESTE;MARCOS ROGERIO DA SILVA BRITO;22;PL;NORTE;Não Eleito;2;RO;12;8387;17429;08/11/2022 18:45
Governador;272;CEREJEIRAS;MARCOS JOSÉ ROCHA DOS SANTOS;44;UNIÃO;NORTE;Eleito;2;RO;16;4610;9610;08/11/2022 18:45
Governador;272;CEREJEIRAS;MARCOS ROGERIO DA SILVA BRITO;22;PL;NORTE;Não Eleito;2;RO;16;5000;9610;08/11/2022 18:45
Governador;299;ROLIM DE MOURA;MARCOS JOSÉ ROCHA DOS SANTOS;44;UNIÃO;NORTE;Eleito;2;RO;29;17984;28768;08/11/2022 18:45
Governador;299;ROLIM DE MOURA;MARCOS ROGERIO DA SILVA BRITO;22;PL;NORTE;Não Eleito;2;RO;29;10784;28768;08/11/2022 18:45
Governador;310;ALTA FLORESTA D'OESTE;MARCOS JOSÉ ROCHA DOS SANTOS;44;UNIÃO;NORTE;Eleito;2;RO;17;9549;13410;08/11/2022 18:45
Governador;310;ALTA FLORESTA D'OESTE;MARCOS ROGERIO DA SILVA BRITO;22;PL;NORTE;Não Eleito;2;RO;17;3861;13410;08/11/2022 18:45
Governador;337;ALVORADA DO OESTE;MARCOS JOSÉ ROCHA DOS SANTOS;44;UNIÃO;NORTE;Eleito;2;RO;18;4572;8076;08/11/2022 18:45
Governador;337;ALVORADA DO OESTE;MARCOS ROGERIO DA SILVA BRITO;22;PL;NORTE;Não Eleito;2;RO;18;3504;8076;08/11/2022 18:45
Governador;353;SANTA LUZIA D'OESTE;MARCOS JOSÉ ROCHA DOS SANTOS;44;UNIÃO;NORTE;Eleito;2;RO;19;3442;4821;08/11/2022 18:45
Governador;353;SANTA LUZIA D'OESTE;MARCOS ROGERIO DA SILVA BRITO;22;PL;NORTE;Não Eleito;2;RO;19;1379;4821;08/11/2022 18:45
